Parameter Distribution {'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'max_features': ['auto', 'sqrt', 'log2'], 'max_depth': [3, 4, 5, 6, 7, 8, 9, 10, None], 'bootstrap': [True, False], 'min_samples_split': [2, 5, 10], 'min_samples_leaf': [1, 2, 4]}
0.700170 (0.002561) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002561, score rank of 33,
0.704739 (0.003061) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.003061, score rank of 11,
0.704879 (0.002747) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}, std score of 0.002747, score rank of 10,
0.705801 (0.002682) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': True}, std score of 0.002682, score rank of 4,
0.688123 (0.001903) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.001903, score rank of 66,
0.700591 (0.002121) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.002121, score rank of 29,
0.705907 (0.002050) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002050, score rank of 3,
0.668555 (0.001177) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001177, score rank of 94,
0.689113 (0.002148) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.002148, score rank of 64,
0.705392 (0.002793) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002793, score rank of 7,
0.694142 (0.001975) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.001975, score rank of 47,
0.668743 (0.001024) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 3, 'bootstrap': True}, std score of 0.001024, score rank of 93,
0.678341 (0.003065) with: {'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': True}, std score of 0.003065, score rank of 75,
0.688191 (0.002146) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}, std score of 0.002146, score rank of 65,
0.676287 (0.002687) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002687, score rank of 81,
0.690119 (0.004520) with: {'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.004520, score rank of 61,
0.675710 (0.003259) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}, std score of 0.003259, score rank of 82,
0.705431 (0.002427) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}, std score of 0.002427, score rank of 6,
0.691337 (0.003121) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.003121, score rank of 54,
0.704957 (0.002571) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 10, 'bootstrap': False}, std score of 0.002571, score rank of 9,
0.687095 (0.005009) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.005009, score rank of 69,
0.698429 (0.001428) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 7, 'bootstrap': False}, std score of 0.001428, score rank of 37,
0.693961 (0.001750) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': True}, std score of 0.001750, score rank of 48,
0.696589 (0.002670) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002670, score rank of 39,
0.677846 (0.002656) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 4, 'bootstrap': False}, std score of 0.002656, score rank of 76,
0.703983 (0.002849) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}, std score of 0.002849, score rank of 15,
0.700622 (0.002052) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.002052, score rank of 28,
0.703634 (0.002840) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.002840, score rank of 18,
0.689812 (0.002605) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 6, 'bootstrap': False}, std score of 0.002605, score rank of 63,
0.674436 (0.002124) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.002124, score rank of 84,
0.706132 (0.002911) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': True}, std score of 0.002911, score rank of 2,
0.677846 (0.002656) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002656, score rank of 76,
0.674996 (0.005008) with: {'n_estimators': 500, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}, std score of 0.005008, score rank of 83,
0.696244 (0.003073) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 6, 'bootstrap': True}, std score of 0.003073, score rank of 41,
0.700426 (0.001317) with: {'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': True}, std score of 0.001317, score rank of 31,
0.700671 (0.002218) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.002218, score rank of 27,
0.677155 (0.003186) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.003186, score rank of 79,
0.677551 (0.002761) with: {'n_estimators': 600, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 4, 'bootstrap': False}, std score of 0.002761, score rank of 78,
0.696504 (0.004788) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}, std score of 0.004788, score rank of 40,
0.700159 (0.002251) with: {'n_estimators': 600, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 7, 'bootstrap': False}, std score of 0.002251, score rank of 34,
0.704105 (0.003224) with: {'n_estimators': 30, 'min_samples_split': 2, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 9, 'bootstrap': True}, std score of 0.003224, score rank of 13,
0.673954 (0.002127) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 4, 'bootstrap': True}, std score of 0.002127, score rank of 85,
0.668555 (0.001177) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 3, 'bootstrap': False}, std score of 0.001177, score rank of 94,
0.668886 (0.000717) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'auto', 'max_depth': 3, 'bootstrap': False}, std score of 0.000717, score rank of 92,
0.691717 (0.002753) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': True}, std score of 0.002753, score rank of 50,
0.696765 (0.002955) with: {'n_estimators': 400, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'auto', 'max_depth': 6, 'bootstrap': True}, std score of 0.002955, score rank of 38,
0.662368 (0.005494) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'log2', 'max_depth': None, 'bootstrap': False}, std score of 0.005494, score rank of 100,
0.703964 (0.003968) with: {'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 8, 'bootstrap': True}, std score of 0.003968, score rank of 16,
0.690995 (0.003333) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'auto', 'max_depth': 5, 'bootstrap': False}, std score of 0.003333, score rank of 55,
0.703265 (0.002459) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 8, 'bootstrap': True}, std score of 0.002459, score rank of 19,
0.699869 (0.002314) with: {'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 7, 'bootstrap': False}, std score of 0.002314, score rank of 35,
