Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300, 400, 500, 600], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.696155 (0.004234) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.004234, score rank of 44,
0.658412 (0.010620) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.010620, score rank of 81,
0.710348 (0.002725) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002725, score rank of 5,
0.681045 (0.004159) with: {'n_estimators': 600, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.004159, score rank of 60,
0.708229 (0.003791) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003791, score rank of 24,
0.687584 (0.006186) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.006186, score rank of 52,
0.709853 (0.003797) with: {'n_estimators': 250, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003797, score rank of 15,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
0.670568 (0.006077) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.006077, score rank of 77,
0.710813 (0.003049) with: {'n_estimators': 400, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003049, score rank of 2,
0.709343 (0.004015) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.004015, score rank of 18,
0.674360 (0.009149) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.009149, score rank of 71,
0.708723 (0.003493) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.003493, score rank of 19,
0.674360 (0.009149) with: {'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.009149, score rank of 71,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.000000, score rank of 87,
0.696155 (0.004234) with: {'n_estimators': 250, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.004234, score rank of 44,
0.687584 (0.006186) with: {'n_estimators': 150, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.006186, score rank of 52,
0.000000 (0.000000) with: {'n_estimators': 50, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 87,
