id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
26319018,Big apartment in great location,4399341,Christian,,Vesterbro-Kongens Enghave,55.66574,12.54877,Entire home/apt,512,30,8,2019-07-14,0.42,1,0
26323266,Spacious apartment in the heart of Copenhagen,32949515,Christoffer,,Indre By,55.68295,12.58597,Entire home/apt,998,3,11,2019-08-03,0.55,1,62
26323270,Great loft with bathtub in the heart of Copenhagen,25250575,Henrik,,Nrrebro,55.6935,12.54247,Entire home/apt,849,3,25,2019-08-13,1.22,1,85
26323930,Penthouse Apartment w/ 2 balconies,91591104,Niels,,sterbro,55.70783,12.58491,Entire home/apt,1297,2,9,2019-09-12,0.45,1,92
26324399,EIKE Collection -3R -  Luxury Apt. in City Center,3678419,Solveig,,Indre By,55.68031,12.57698,Entire home/apt,1052,2,32,2020-01-22,1.68,16,281
26324847,Newly renovated apartment in the heart of Østerbro,197963604,Mark & Julie,,sterbro,55.70654,12.5837,Entire home/apt,598,3,22,2019-07-03,1.14,1,20
26325728,Lovely flat in the heart of Copenhagen,59030303,Michelle,,Nrrebro,55.69338,12.56107,Entire home/apt,951,2,13,2019-06-21,0.69,1,364
26325778,Room in Copenhagen / *Sleep & Go CPH* / Room NR. 1,197980506,Nh,,Vanlse,55.69785,12.46934,Private room,496,1,3,2019-02-23,0.17,9,112
26326772,Boheme på indre Nørrebro,49398354,Sarah,,Nrrebro,55.69057,12.56419,Entire home/apt,1202,5,0,,,2,89
26327014,Lovely located Apartment with big sunny balcony,197984717,Maja Blom,,Nrrebro,55.69664,12.54673,Entire home/apt,747,2,5,2019-11-03,0.26,1,15
26328502,Cosy apartment in the heart of Vesterbro,16582121,Laura,,Vesterbro-Kongens Enghave,55.67144,12.54549,Entire home/apt,801,14,10,2019-08-11,0.50,1,47
26328586,Byhus i 3 etager med skøn privat og solrig have,25268944,Laura,,Frederiksberg,55.67074,12.51184,Entire home/apt,1501,2,3,2019-08-16,0.15,1,341
26329004,nyrenoveret lejlighed i København.,198006516,Kasper Cetti,,Amager st,55.64806,12.61423,Entire home/apt,1297,5,1,2018-08-13,0.05,1,180
26329055,136 sqm newly-built whole apartment with balcony,109607130,Sofia,,Valby,55.65443,12.5036,Entire home/apt,573,10,5,2018-08-17,0.25,2,0
26329577,"SUMMER at AMAGERSTRAND, in modern “cottage”/House",16184941,Nathalie,,Amager st,55.65051,12.6342,Entire home/apt,901,3,6,2019-12-16,0.61,2,2
26329638,Herskabslejlighed tæt på havnebad og Kastellet,196636939,Jakob,,sterbro,55.70289,12.58884,Entire home/apt,1297,3,2,2019-07-31,0.11,1,13
26329829,Kolonihavehus Amagerstrand til leje i sommerferien,16184941,Nathalie,,Amager st,55.64905,12.63468,Entire home/apt,901,4,8,2019-05-03,0.41,2,0
26330139,HELT ny moderne lejlighed hvor Vesterbro møder Frederiksberg  i Carlsbergbyen,181799953,Christel,,Vesterbro-Kongens Enghave,55.66746,12.53538,Entire home/apt,1003,3,1,2018-08-10,0.05,2,0
