Parameter Distribution {'loss': ['deviance', 'exponential'], 'learning_rate': [0.1, 0.01, 0.001], 'n_estimators': [10, 30, 50, 100, 150, 200, 250, 300], 'min_samples_leaf': [1, 2, 4], 'min_samples_split': [2, 5, 10]}
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.706365 (0.002308) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.002308, score rank of 19,
0.679909 (0.002126) with: {'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.002126, score rank of 57,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.672728 (0.005177) with: {'n_estimators': 30, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.005177, score rank of 68,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.694669 (0.002501) with: {'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002501, score rank of 35,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.707528 (0.001892) with: {'n_estimators': 150, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001892, score rank of 13,
0.688972 (0.005433) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.005433, score rank of 41,
0.000000 (0.000000) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.679909 (0.002126) with: {'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.01}, std score of 0.002126, score rank of 57,
0.672728 (0.005177) with: {'n_estimators': 30, 'min_samples_split': 10, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.01}, std score of 0.005177, score rank of 68,
0.662842 (0.004303) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'deviance', 'learning_rate': 0.001}, std score of 0.004303, score rank of 76,
0.000000 (0.000000) with: {'n_estimators': 10, 'min_samples_split': 10, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.000000, score rank of 80,
0.682562 (0.000490) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 1, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.000490, score rank of 44,
0.659506 (0.002217) with: {'n_estimators': 150, 'min_samples_split': 5, 'min_samples_leaf': 4, 'loss': 'exponential', 'learning_rate': 0.001}, std score of 0.002217, score rank of 78,
0.707573 (0.001458) with: {'n_estimators': 250, 'min_samples_split': 10, 'min_samples_leaf': 2, 'loss': 'exponential', 'learning_rate': 0.1}, std score of 0.001458, score rank of 11,
0.682550 (0.000486) with: {'n_estimators': 10, 'min_samples_split': 2, 'min_samples_leaf': 2, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.000486, score rank of 47,
0.682550 (0.000486) with: {'n_estimators': 10, 'min_samples_split': 5, 'min_samples_leaf': 1, 'loss': 'deviance', 'learning_rate': 0.1}, std score of 0.000486, score rank of 47,
